Date (yyyy/mm/dd),Workout,Workout Name,Program Name,Body Weight (KG),Exercise,Sets×Reps,Sets×Time,Top Set (Reps×KG),e1RM (KG),Reps,Volume (KG),Workout Volume (KG),Duration (hours),Start Time (h:mm),End Time (h:mm),Notes,Set 1 (Reps),Set 1 (KG),Set 2 (Reps),Set 2 (KG),Set 3 (Reps),Set 3 (KG),Set 4 (Reps),Set 4 (KG),Set 5 (Reps),Set 5 (KG)
2019/12/13,1,"Workout A","",82,"Squat",5×5,,5×20,24.6,25,500,2500.0,0.79123,8:43 AM,9:31 AM,"",5,20,5,20,5,20,5,20,5,20
2019/12/13,1,"Workout A","",82,"Bench Press",5×5,,5×50,61.6,25,1250,2500.0,0.79123,8:43 AM,9:31 AM,"",5,50,5,50,5,50,5,50,5,50
2019/12/13,1,"Workout A","",82,"Barbell Row",5×5,,5×30,36.9,25,750,2500.0,0.79123,8:43 AM,9:31 AM,"",5,30,5,30,5,30,5,30,5,30
2019/12/15,2,"Workout B","",82,"Squat",5×5,,5×30,36.9,25,750,1450.0,1,8:43 AM,9:43 AM,"",5,30,5,30,5,30,5,30,5,30
2019/12/15,2,"Workout B","",82,"Overhead Press",5×5,,5×20,24.6,25,500,1450.0,1,8:43 AM,9:43 AM,"",5,20,5,20,5,20,5,20,5,20
2019/12/15,2,"Workout B","",82,"Deadlift",1×5,,5×40,49.3,5,200,1450.0,1,8:43 AM,9:43 AM,"",5,40,,,,,,,,
2019/12/17,3,"Workout A","",82,"Squat",5×5,,5×40,49.3,25,1000,3125.0,0.71113,9:45 AM,10:28 AM,"",5,40,5,40,5,40,5,40,5,40
2019/12/17,3,"Workout A","",82,"Bench Press",5×5,,5×52.5,64.7,25,1312.5,3125.0,0.71113,9:45 AM,10:28 AM,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2019/12/17,3,"Workout A","",82,"Barbell Row",5×5,,5×32.5,40,25,812.5,3125.0,0.71113,9:45 AM,10:28 AM,"",5,32.5,5,32.5,5,32.5,5,32.5,5,32.5
2019/12/26,4,"Workout B","",82,"Squat",5×5,,5×45,55.4,25,1125,1912.5,0.41709,6:23 PM,6:48 PM,"",5,45,5,45,5,45,5,45,5,45
2019/12/26,4,"Workout B","",82,"Overhead Press",5×5,,5×22.5,27.7,25,562.5,1912.5,0.41709,6:23 PM,6:48 PM,"",5,22.5,5,22.5,5,22.5,5,22.5,5,22.5
2019/12/26,4,"Workout B","",82,"Deadlift",1×5,,5×45,55.4,5,225,1912.5,0.41709,6:23 PM,6:48 PM,"",5,45,,,,,,,,
2020/01/03,5,"Workout A","",82,"Squat",5×5,,5×40,49.3,25,1000,2875.0,0.54372,11:14 AM,11:47 AM,"",5,40,5,40,5,40,5,40,5,40
2020/01/03,5,"Workout A","",82,"Bench Press",5×5,,5×45,55.4,25,1125,2875.0,0.54372,11:14 AM,11:47 AM,"",5,45,5,45,5,45,5,45,5,45
2020/01/03,5,"Workout A","",82,"Barbell Row",5×5,,5×30,36.9,25,750,2875.0,0.54372,11:14 AM,11:47 AM,"",5,30,5,30,5,30,5,30,5,30
2020/01/07,6,"Workout B","",82,"Squat",5×5,,5×45,55.4,25,1125,2000.0,0.33454,4:06 PM,4:26 PM,"",5,45,5,45,5,45,5,45,5,45
2020/01/07,6,"Workout B","",82,"Overhead Press",5×5,,5×25,30.8,25,625,2000.0,0.33454,4:06 PM,4:26 PM,"",5,25,5,25,5,25,5,25,5,25
2020/01/07,6,"Workout B","",82,"Deadlift",1×5,,5×50,61.6,5,250,2000.0,0.33454,4:06 PM,4:26 PM,"",5,50,,,,,,,,
2020/01/09,7,"Workout A","",82,"Squat",5×5,,5×50,61.6,25,1250,3750.0,1,2:22 PM,3:22 PM,"",5,50,5,50,5,50,5,50,5,50
2020/01/09,7,"Workout A","",82,"Bench Press",5×5,,5×47.5,58.5,25,1187.5,3750.0,1,2:22 PM,3:22 PM,"",5,47.5,5,47.5,5,47.5,5,47.5,5,47.5
2020/01/09,7,"Workout A","",82,"Barbell Row",5×5,,5×32.5,40,25,812.5,3750.0,1,2:22 PM,3:22 PM,"",5,32.5,5,32.5,5,32.5,5,32.5,5,32.5
2020/01/09,7,"Workout A","",82,"lat pulldown",5×5,,5×20,24.6,25,500,3750.0,1,2:22 PM,3:22 PM,"",5,20,5,20,5,20,5,20,5,20
2020/01/20,8,"Workout B","",82,"Squat",5×5,,5×60,73.9,25,1500,2675.0,0.78662,3:15 PM,4:02 PM,"",5,60,5,60,5,60,5,60,5,60
2020/01/20,8,"Workout B","",82,"Overhead Press",5×5,,5×35,43.1,25,875,2675.0,0.78662,3:15 PM,4:02 PM,"",5,35,5,35,5,35,5,35,5,35
2020/01/20,8,"Workout B","",82,"Deadlift",1×5,,5×60,73.9,5,300,2675.0,0.78662,3:15 PM,4:02 PM,"",5,60,,,,,,,,
2020/01/22,9,"Workout A","",82,"Squat",Skipped,,,,0,0,4200.0,1,6:37 PM,7:37 PM,"",0,70,0,70,0,70,0,70,0,70
2020/01/22,9,"Workout A","",82,"Bench Press",5×5,,5×60,73.9,25,1700,4200.0,1,6:37 PM,7:37 PM,"",5,60,5,60,5,60,5,60,5,60
2020/01/22,9,"Workout A","",82,"Barbell Row",5×5,,5×45,55.4,25,1125,4200.0,1,6:37 PM,7:37 PM,"",5,45,5,45,5,45,5,45,5,45
2020/01/22,9,"Workout A","",82,"lat pulldown",Skipped,,,,0,0,4200.0,1,6:37 PM,7:37 PM,"",0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
2020/01/22,9,"Workout A","",82,"Lateral Raises",5×5,,5×5,6.1,25,125,4200.0,1,6:37 PM,7:37 PM,"",5,5,5,5,5,5,5,5,5,5
2020/01/22,9,"Workout A","",82,"Barbell Curls",5×5,,5×20,24.6,25,500,4200.0,1,6:37 PM,7:37 PM,"",5,20,5,20,5,20,5,20,5,20
2020/01/22,9,"Workout A","",82,"Triceps Pushdowns",5×5,,5×30,36.9,25,750,4200.0,1,6:37 PM,7:37 PM,"",5,30,5,30,5,30,5,30,5,30
2020/01/22,10,"Workout B","",82,"Squat",5×5,,5×80,98.6,25,2910,5035.0,1.0629,6:55 PM,7:59 PM,"",5,80,5,80,5,80,5,80,5,80
2020/01/22,10,"Workout B","",82,"Overhead Press",5×5,,5×35,43.1,25,1075,5035.0,1.0629,6:55 PM,7:59 PM,"",5,35,5,35,5,35,5,35,5,35
2020/01/22,10,"Workout B","",82,"Deadlift",1×5,,5×80,98.6,5,1050,5035.0,1.0629,6:55 PM,7:59 PM,"",5,80,,,,,,,,
2020/01/30,11,"Workout A","",82,"Squat",5×5,,5×82.5,101.7,25,2062.5,4812.5,0.61314,6:54 PM,7:31 PM,"",5,82.5,5,82.5,5,82.5,5,82.5,5,82.5
